id,name,desc,keywords,ogImage
"aes-rsa","AES/RSA 加密示例","AES/RSA 加密示例 是一个在线工具，用于加密/安全。在浏览器中即时运行，无需上传，适合开发与日常使用。","aes|rsa|加密示例|加密/安全",""
"age","年龄计算器","年龄计算器：在浏览器中比较 Date 的实用工具，快速响应、无需上传、适合开发与日常使用。","年龄计算器|age|date",""
"arithmetic-sequence","等差数列生成","等差数列生成：在浏览器中转换 Number 的实用工具，快速响应、无需上传、适合开发与日常使用。","等差数列生成|arithmetic|sequence|number",""
"ascii-art","ASCII Art / FIGlet","ASCII Art / FIGlet 是一个在线工具，用于Text。在浏览器中即时运行，无需上传，适合开发与日常使用。","ascii|art|figlet|text",""
"audio","音频可视化/导出 WAV","音频可视化/导出 WAV：在浏览器中分析 音频/媒体 的实用工具，快速响应、无需上传、适合开发与日常使用。","音频可视化|导出|wav|audio|音频/媒体",""
"barcode","条形码生成","条形码生成：在浏览器中转换 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","条形码生成|barcode",""
"barcode-batch","条形码批量生成","批量生成 Code128/EAN13 条形码，支持一键下载多张 PNG","条形码批量生成|barcode|batch|图像/文件",""
"base-convert","进制转换","进制转换：在浏览器中比较 代码/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","进制转换|base|convert|代码/文本",""
"base32","Base32 编解码","Base32 编解码 是一个在线工具，用于常见格式与数据处理。在浏览器中即时运行，无需上传，适合开发与日常使用。","base32|编解码",""
"base45","Base45 编解码","Base45 编解码 是一个在线工具，用于Encoding。在浏览器中即时运行，无需上传，适合开发与日常使用。","base45|编解码|encoding",""
"base58","Base58 批处理","Base58 批处理 是一个在线工具，用于Encoding。在浏览器中即时运行，无需上传，适合开发与日常使用。","base58|批处理|encoding",""
"base62","Base62 编解码","Base62 编解码 是一个在线工具，用于常见格式与数据处理。在浏览器中即时运行，无需上传，适合开发与日常使用。","base62|编解码",""
"base64","Base64 编解码","Base64 编解码：在浏览器内对文本或文件进行 Base64 编码与解码，快速便捷。","base64|编解码",""
"base64-file","Base64 文件转换","Base64 文件转换：在浏览器内对文本或文件进行 Base64 编码与解码，快速便捷。","base64|文件转换|file|图像/文件",""
"base85","Base85 (Ascii85/Z85)","Base85 (Ascii85/Z85) 是一个在线工具，用于Encoding。在浏览器中即时运行，无需上传，适合开发与日常使用。","base85|(ascii85|z85)|encoding",""
"basic-auth","Basic Auth 生成器","Basic Auth 生成器 是一个在线工具，用于Web。在浏览器中即时运行，无需上传，适合开发与日常使用。","basic|auth|生成器|web",""
"bcrypt","Bcrypt 哈希/校验","Bcrypt 哈希/校验 是一个在线工具，用于加密/安全。在浏览器中即时运行，无需上传，适合开发与日常使用。","bcrypt|哈希|校验|加密/安全",""
"benchmark","Benchmark 构建器","Benchmark 构建器 是一个在线工具，用于Dev。在浏览器中即时运行，无需上传，适合开发与日常使用。","benchmark|构建器|dev",""
"binary-encodings","BSON / MsgPack 编解码","BSON / MsgPack 编解码 是一个在线工具，用于开发。在浏览器中即时运行，无需上传，适合开发与日常使用。","bson|msgpack|编解码|binary|encodings|开发",""
"bip39","BIP39 助记词","BIP39 助记词 是一个在线工具，用于加密/安全。在浏览器中即时运行，无需上传，适合开发与日常使用。","bip39|助记词|加密/安全",""
"bytes","字节单位换算","字节单位换算：在浏览器中比较 数据 的实用工具，快速响应、无需上传、适合开发与日常使用。","字节单位换算|bytes|数据",""
"calibre-convert","Calibre 电子书转换","Calibre 电子书转换 是一个在线工具，用于Document。在浏览器中即时运行，无需上传，适合开发与日常使用。","calibre|电子书转换|convert|document",""
"camera-recorder","相机录制","相机录制：在浏览器中格式化 多媒体、Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","相机录制|camera|recorder|多媒体|web",""
"change-csv-separator","CSV 分隔符转换","CSV 分隔符转换：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|分隔符转换|change|separator",""
"check-leap-years","闰年判断","闰年判断：在浏览器中生成 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","闰年判断|check|leap|years|time",""
"chmod","chmod 权限转换","chmod 权限转换 是一个在线工具，用于系统/权限。在浏览器中即时运行，无需上传，适合开发与日常使用。","chmod|权限转换|系统/权限",""
"chronometer","秒表 / 计时器","秒表 / 计时器：在浏览器中转换 Productivity 的实用工具，快速响应、无需上传、适合开发与日常使用。","秒表|计时器|chronometer|productivity",""
"color","颜色转换","颜色转换：在浏览器中比较 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","颜色转换|color",""
"color-convert","颜色格式转换","颜色格式转换：在浏览器中转换 图像/颜色 的实用工具，快速响应、无需上传、适合开发与日常使用。","颜色格式转换|color|convert|图像/颜色",""
"convert-days-to-hours","天 → 小时","天 → 小时：在浏览器中校验 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","天|→|小时|convert|days|to|hours|time",""
"convert-hours-to-days","小时 → 天","小时 → 天：在浏览器中分析 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","小时|→|天|convert|hours|to|days|time",""
"convert-seconds-to-time","秒 → 时分秒","秒 → 时分秒：在浏览器中分析 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","秒|→|时分秒|convert|seconds|to|time",""
"convert-time-to-seconds","时分秒 → 秒","时分秒 → 秒：在浏览器中生成 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","时分秒|→|秒|convert|time|to|seconds",""
"convert-unix-to-date","Unix 时间戳 → 日期","Unix 时间戳 → 日期：在浏览器中比较 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","unix|时间戳|→|日期|convert|to|date|time",""
"countdown","倒计时","倒计时：在浏览器中生成 Productivity、Date 的实用工具，快速响应、无需上传、适合开发与日常使用。","倒计时|countdown|productivity|date",""
"cron","Cron 解析","Cron 解析 是一个在线工具，用于常见格式与数据处理。在浏览器中即时运行，无需上传，适合开发与日常使用。","cron|解析",""
"cron-builder","Cron 可视化编辑器","Cron 可视化编辑器 是一个在线工具，用于时间/计划。在浏览器中即时运行，无需上传，适合开发与日常使用。","cron|可视化编辑器|builder|时间/计划",""
"csv-json","CSV ⇄ JSON","CSV ⇄ JSON：快速格式化、校验与查看 JSON 数据，支持粘贴与文件导入，方便调试与分析。","csv|⇄|json",""
"csv-pivot","CSV 透视表","CSV 透视表：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|透视表|pivot|数据/文本",""
"csv-to-tsv","CSV → TSV","CSV → TSV：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|→|tsv|to",""
"csv-to-xml","CSV → XML","CSV → XML：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|→|xml|to",""
"csv-to-yaml","CSV → YAML","CSV → YAML：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|→|yaml|to",""
"currency","货币换算（离线汇率）","货币换算（离线汇率）：在浏览器中格式化 数据/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","货币换算（离线汇率）|currency|数据/文本",""
"dasel","dasel 数据抽取","dasel 数据抽取 是一个在线工具，用于Document。在浏览器中即时运行，无需上传，适合开发与日常使用。","dasel|数据抽取|document",""
"date-diff","日期差计算","日期差计算：在浏览器中格式化 时间/计划 的实用工具，快速响应、无需上传、适合开发与日常使用。","日期差计算|date|diff|时间/计划",""
"date-time-converter","日期时间一站式转换","日期时间一站式转换：在浏览器中转换 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","日期时间一站式转换|date|time|converter",""
"device-info","设备信息","设备信息：在浏览器中比较 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","设备信息|device|info|web",""
"docker-run-compose","Docker run → Compose","Docker run → Compose 是一个在线工具，用于开发。在浏览器中即时运行，无需上传，适合开发与日常使用。","docker|run|→|compose|开发",""
"dvisvgm","dvisvgm 矢量化","dvisvgm 矢量化 是一个在线工具，用于Document。在浏览器中即时运行，无需上传，适合开发与日常使用。","dvisvgm|矢量化|document",""
"email-normalizer","Email 规整化","Email 规整化 是一个在线工具，用于开发。在浏览器中即时运行，无需上传，适合开发与日常使用。","email|规整化|normalizer|开发",""
"emoji-picker","Emoji 选择器","Emoji 选择器 是一个在线工具，用于Text、Productivity。在浏览器中即时运行，无需上传，适合开发与日常使用。","emoji|选择器|picker|text|productivity",""
"escape-json","JSON 转义/反转义","JSON 转义/反转义：在浏览器中校验 JSON 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|转义|反转义|escape",""
"eta","ETA 估算","ETA 估算 是一个在线工具，用于Math、Productivity。在浏览器中即时运行，无需上传，适合开发与日常使用。","eta|估算|math|productivity",""
"exif","EXIF 元数据读取","EXIF 元数据读取 是一个在线工具，用于图像/文件。在浏览器中即时运行，无需上传，适合开发与日常使用。","exif|元数据读取|图像/文件",""
"exif-batch","EXIF 批量查看/剥离","EXIF 批量查看/剥离 是一个在线工具，用于图像/文件。在浏览器中即时运行，无需上传，适合开发与日常使用。","exif|批量查看|剥离|batch|图像/文件",""
"exif-sanitize","EXIF 去敏/写入","EXIF 去敏/写入 是一个在线工具，用于图像/文件。在浏览器中即时运行，无需上传，适合开发与日常使用。","exif|去敏|写入|sanitize|图像/文件",""
"extract-substring","子串提取","子串提取：在浏览器中校验 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","子串提取|extract|substring|text",""
"favicon","Favicon/ICO 生成","Favicon/ICO 生成 是一个在线工具，用于图像/文件。在浏览器中即时运行，无需上传，适合开发与日常使用。","favicon|ico|生成|图像/文件",""
"file-hash","文件哈希","文件哈希：在浏览器中校验 文件/校验 的实用工具，快速响应、无需上传、适合开发与日常使用。","文件哈希|file|hash|文件/校验",""
"find-incomplete-csv-records","查找不完整 CSV 记录","查找不完整 CSV 记录：在浏览器中分析 CSV 的实用工具，快速响应、无需上传、适合开发与日常使用。","查找不完整|csv|记录|find|incomplete|records",""
"float-ieee754","进制浮点解析 · IEEE754","解析任意进制小数并转换为 IEEE754（32/64 位）与反向转换","进制浮点解析|·|ieee754|float|开发",""
"generic-calc","通用计算器","通用计算器：在浏览器中校验 Number 的实用工具，快速响应、无需上传、适合开发与日常使用。","通用计算器|generic|calc|number",""
"git-cheatsheet","Git 速查表","Git 速查表 是一个在线工具，用于开发。在浏览器中即时运行，无需上传，适合开发与日常使用。","git|速查表|cheatsheet|开发",""
"graphicsmagick","GraphicsMagick 转换","GraphicsMagick 转换 是一个在线工具，用于Image。在浏览器中即时运行，无需上传，适合开发与日常使用。","graphicsmagick|转换|image",""
"hash","SHA-256 散列","SHA-256 散列：在浏览器中校验 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","sha|256|散列|hash",""
"hash-extra","MD5 / HMAC-SHA256","MD5 / HMAC-SHA256：在浏览器中格式化 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","md5|hmac|sha256|hash|extra",""
"hash-text","Hash 文本","Hash 文本：生成与校验各种哈希（MD5/SHA），用于完整性校验与快速验证。","hash|文本|text|加密/安全",""
"hex-dump","Hex Dump 查看器","Hex Dump 查看器 是一个在线工具，用于Binary。在浏览器中即时运行，无需上传，适合开发与日常使用。","hex|dump|查看器|binary",""
"hmac","HMAC 生成器","HMAC 生成器 是一个在线工具，用于加密/安全。在浏览器中即时运行，无需上传，适合开发与日常使用。","hmac|生成器|加密/安全",""
"html-entities","HTML 实体编解码","HTML 实体编解码 是一个在线工具，用于常见格式与数据处理。在浏览器中即时运行，无需上传，适合开发与日常使用。","html|实体编解码|entities",""
"html-to-markdown","HTML → Markdown","HTML → Markdown 是一个在线工具，用于文本。在浏览器中即时运行，无需上传，适合开发与日常使用。","html|→|markdown|to|文本",""
"http-status","HTTP Status Codes","HTTP Status Codes 是一个在线工具，用于Web。在浏览器中即时运行，无需上传，适合开发与日常使用。","http|status|codes|web",""
"iban","IBAN 校验/解析","IBAN 校验/解析 是一个在线工具，用于数据。在浏览器中即时运行，无需上传，适合开发与日常使用。","iban|校验|解析|数据",""
"ics-event","ICS 事件生成","ICS 事件生成 是一个在线工具，用于Date、Productivity。在浏览器中即时运行，无需上传，适合开发与日常使用。","ics|事件生成|event|date|productivity",""
"image-compress","图片压缩","图片压缩：在浏览器中格式化 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","图片压缩|image|compress|图像/文件",""
"image-convert","图片转换/压缩","图片转换/压缩：在浏览器中校验 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","图片转换|压缩|image|convert|图像/文件",""
"image-crop","图片裁剪","图片裁剪：在浏览器中转换 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","图片裁剪|image|crop|图像/文件",""
"image-resize","图片缩放压缩","图片缩放压缩：在浏览器中校验 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","图片缩放压缩|image|resize|图像/文件",""
"image-watermark","图片加水印/滤镜","在图片上添加文字或图片水印，并应用亮度/对比度/灰度/模糊/反相等简单滤镜（纯前端）","图片加水印|滤镜|image|watermark",""
"imagemagick","ImageMagick 转换","ImageMagick 转换：在浏览器中比较 Image 的实用工具，快速响应、无需上传、适合开发与日常使用。","imagemagick|转换|image",""
"inkscape","Inkscape 矢量处理","Inkscape 矢量处理：在浏览器中格式化 Vector 的实用工具，快速响应、无需上传、适合开发与日常使用。","inkscape|矢量处理|vector",""
"insert-csv-columns","CSV 插入列","CSV 插入列：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|插入列|insert|columns",""
"ipv4-tools","IPv4 工具集","IPv4 工具集：在浏览器中校验 网络 的实用工具，快速响应、无需上传、适合开发与日常使用。","ipv4|工具集|tools|网络",""
"ipv6-ula","IPv6 ULA 生成","IPv6 ULA 生成：在浏览器中生成 网络 的实用工具，快速响应、无需上传、适合开发与日常使用。","ipv6|ula|生成|网络",""
"json-csv","JSON → CSV","JSON → CSV：在浏览器中格式化 数据 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|→|csv|数据",""
"json-diff","JSON Diff 对比","JSON Diff 对比：在浏览器中比较 代码/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|diff|对比|代码/文本",""
"json-format","JSON 格式化/压缩","JSON 格式化/压缩：在浏览器中分析 Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|格式化|压缩|format|converter",""
"json-minify","JSON Minify","JSON Minify：在浏览器中分析 代码/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|minify|代码/文本",""
"json-schema","JSON Schema 校验","JSON Schema 校验：在浏览器中校验 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|schema|校验",""
"json-stringify","JSON 字符串化","JSON 字符串化：在浏览器中转换 JSON 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|字符串化|stringify",""
"json-to-toml","JSON → TOML","JSON → TOML：在浏览器中格式化 JSON、TOML、Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|→|toml|to|converter",""
"json-to-xml","JSON → XML","JSON → XML：在浏览器中转换 JSON、XML、Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|→|xml|to|converter",""
"json-to-yaml","JSON → YAML","JSON → YAML：在浏览器中分析 JSON、YAML、Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|→|yaml|to|converter",""
"json-viewer","JSON 查看器","JSON 查看器：在浏览器中校验 JSON 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|查看器|viewer",""
"jsonpath","JSONPath 提取","JSONPath 提取：在浏览器中比较 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","jsonpath|提取",""
"jwt-decode","JWT 解码器","JWT 解码器：在浏览器中比较 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","jwt|解码器|decode|web",""
"jwt-verify","JWT 签名校验","JWT 签名校验：在浏览器中转换 安全/加密 的实用工具，快速响应、无需上传、适合开发与日常使用。","jwt|签名校验|verify|安全/加密",""
"keycode","Keycode 信息","捕获键盘事件，显示 key/code/keyCode 等字段","keycode|信息|web",""
"libheif","HEIF/HEIC (libheif)","HEIF/HEIC (libheif) 是一个在线工具，用于Image。在浏览器中即时运行，无需上传，适合开发与日常使用。","heif|heic|(libheif)|libheif|image",""
"libjxl","JPEG XL (libjxl)","JPEG XL (libjxl)：在浏览器中分析 Image 的实用工具，快速响应、无需上传、适合开发与日常使用。","jpeg|xl|(libjxl)|libjxl|image",""
"libreoffice-convert","LibreOffice 文档转换","DOC/DOCX/XLS/PPT ↔ PDF/等（占位：生成命令）","libreoffice|文档转换|convert|document",""
"list-converter","列表转换","列表转换：在浏览器中转换 文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表转换|list|converter|文本",""
"list-duplicate","列表复制/交织","列表复制/交织：在浏览器中分析 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表复制|交织|list|duplicate",""
"list-find-most-popular","列表最常见项","列表最常见项：在浏览器中生成 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表最常见项|list|find|most|popular",""
"list-find-unique","列表唯一项","列表唯一项：在浏览器中格式化 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表唯一项|list|find|unique",""
"list-group","列表分组","列表分组：在浏览器中比较 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表分组|list|group",""
"list-reverse","列表反转","列表反转：在浏览器中分析 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表反转|list|reverse",""
"list-rotate","列表旋转位移","列表旋转位移：在浏览器中生成 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表旋转位移|list|rotate",""
"list-shuffle","列表乱序","列表乱序：在浏览器中分析 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表乱序|list|shuffle",""
"list-sort","列表排序","列表排序：在浏览器中转换 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表排序|list|sort",""
"list-truncate","列表截断","列表截断：在浏览器中分析 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表截断|list|truncate",""
"list-unwrap","列表拆包","列表拆包：在浏览器中比较 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表拆包|list|unwrap",""
"list-wrap","列表包裹","列表包裹：在浏览器中生成 List 的实用工具，快速响应、无需上传、适合开发与日常使用。","列表包裹|list|wrap",""
"lorem","Lorem Ipsum 生成","Lorem Ipsum 生成：在浏览器中比较 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","lorem|ipsum|生成|text",""
"mac-gen","MAC 地址生成器","MAC 地址生成器：在浏览器中校验 网络 的实用工具，快速响应、无需上传、适合开发与日常使用。","mac|地址生成器|gen|网络",""
"mac-oui","MAC OUI 查询","通过 MAC 地址前缀查询制造商（支持离线数据与自定义导入）","mac|oui|查询|network",""
"markdown","Markdown → HTML","使用 snarkdown 将 Markdown 渲染为 HTML（不含消毒）","markdown|→|html|代码/文本",""
"markdown-editor","Markdown 富文本编辑器","支持代码与所见即所得双模式（基于 Toast UI Editor）","markdown|富文本编辑器|editor|文本|wysiwyg",""
"markdown-table","Markdown 表格编辑器","Markdown 表格编辑器：在浏览器中格式化 Markdown、Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","markdown|表格编辑器|table|text",""
"markdown-to-html","Markdown → HTML","Markdown → HTML：在浏览器中格式化 Markdown、HTML 的实用工具，快速响应、无需上传、适合开发与日常使用。","markdown|→|html|to",""
"markdown-toc","Markdown TOC 生成器","根据 Markdown 标题生成目录（TOC），支持 复制 与 粘贴到文档","markdown|toc|生成器|text",""
"math-eval","数学表达式计算","数学表达式计算：在浏览器中格式化 Math 的实用工具，快速响应、无需上传、适合开发与日常使用。","数学表达式计算|math|eval",""
"meta-tag-generator","Meta 标签生成器","生成常用 SEO 与社交分享的 <meta> 与 <link> 片段","meta|标签生成器|tag|generator|html|seo",""
"mime-types","MIME Types","MIME Types：在浏览器中校验 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","mime|types|web",""
"minify","HTML/CSS/JS 压缩","HTML/CSS/JS 压缩 是一个在线工具，用于代码/文本。在浏览器中即时运行，无需上传，适合开发与日常使用。","html|css|js|压缩|minify|代码/文本",""
"morse","摩斯电码","摩斯电码：在浏览器中分析 Text、Audio 的实用工具，快速响应、无需上传、适合开发与日常使用。","摩斯电码|morse|text|audio",""
"msgconvert","msgconvert 邮件转换","msgconvert 邮件转换：在浏览器中生成 Document 的实用工具，快速响应、无需上传、适合开发与日常使用。","msgconvert|邮件转换|document",""
"nanoid","NanoID 生成器","NanoID 生成器：在浏览器中格式化 加密/安全 的实用工具，快速响应、无需上传、适合开发与日常使用。","nanoid|生成器|加密/安全",""
"nato","NATO 拼读表","文本 → NATO 字母拼读（Alpha, Bravo, ...）","nato|拼读表|代码/文本",""
"numeronym","Numeronym 生成","Numeronym 生成：在浏览器中比较 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","numeronym|生成|text",""
"og-meta","Open Graph 元信息生成","Open Graph 元信息生成：在浏览器中生成 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","open|graph|元信息生成|og|meta|web",""
"otp","OTP/TOTP 生成器","基于 Base32 密钥的 TOTP/HOTP（HMAC-SHA1）","otp|totp|生成器|加密/安全",""
"palette","颜色调色板生成","颜色调色板生成：在浏览器中格式化 设计 的实用工具，快速响应、无需上传、适合开发与日常使用。","颜色调色板生成|palette|设计",""
"pandoc-convert","Pandoc 多格式转换","Markdown ↔ Docx/Odt/Rtf/Html/Epub/...（占位：生成命令）","pandoc|多格式转换|convert|document",""
"password","密码生成器","密码生成器：在浏览器中转换 加密/安全 的实用工具，快速响应、无需上传、适合开发与日常使用。","密码生成器|password|加密/安全",""
"password-strength","密码强度分析","密码强度分析：在浏览器中校验 加密/安全 的实用工具，快速响应、无需上传、适合开发与日常使用。","密码强度分析|password|strength|加密/安全",""
"pbkdf2","PBKDF2 派生器","PBKDF2 派生器：在浏览器中分析 加密/安全 的实用工具，快速响应、无需上传、适合开发与日常使用。","pbkdf2|派生器|加密/安全",""
"pdf-merge","PDF 合并","PDF 合并：在浏览器中校验 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","pdf|合并|merge|图像/文件",""
"pdf-sign","PDF 签名检查","检测 PDF 中的 ByteRange/Contents（非完整证书验证）","pdf|签名检查|sign|图像/文件",""
"pdf-signature-checker","PDF 签名校验(前端)","在前端尝试检测 PDF 是否包含签名域与相关对象(能力有限)","pdf|签名校验(前端)|signature|checker",""
"percentage","百分比计算","百分比计算：在浏览器中格式化 Math 的实用工具，快速响应、无需上传、适合开发与日常使用。","百分比计算|percentage|math",""
"phone","手机号解析与格式化","基础的国际电话号码解析：清理、E.164 格式、国家识别与简单拼接（无依赖）","手机号解析与格式化|phone|data",""
"potrace","potrace 矢量化","potrace 矢量化：在浏览器中分析 Vector 的实用工具，快速响应、无需上传、适合开发与日常使用。","potrace|矢量化|vector",""
"punycode","Punycode 域名","Unicode 域名与 Punycode (xn--) 互转，按 label 处理","punycode|域名|web|encoding",""
"qr-batch","二维码 批量生成/解码","二维码 批量生成/解码：在浏览器中格式化 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","二维码|批量生成|解码|qr|batch|图像/文件",""
"qr-decode","二维码识别","二维码识别：在浏览器中转换 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","二维码识别|qr|decode",""
"qrcode","二维码生成器","二维码生成器：在浏览器中校验 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","二维码生成器|qrcode",""
"random-number-generator","随机数生成器","随机数生成器：在浏览器中格式化 Math 的实用工具，快速响应、无需上传、适合开发与日常使用。","随机数生成器|random|number|generator|math",""
"random-port","随机端口","随机端口：在浏览器中转换 开发 的实用工具，快速响应、无需上传、适合开发与日常使用。","随机端口|random|port|开发",""
"randomize-case","随机大小写","随机大小写：在浏览器中格式化 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","随机大小写|randomize|case|text",""
"regex-cheatsheet","正则表达式速查","正则表达式速查：在浏览器中生成 开发 的实用工具，快速响应、无需上传、适合开发与日常使用。","正则表达式速查|regex|cheatsheet|开发",""
"regex-replace","正则替换","正则替换：在浏览器中格式化 代码/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","正则替换|regex|replace|代码/文本",""
"regex-tester","正则测试器","正则测试器：在浏览器中格式化 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","正则测试器|regex|tester|text",""
"repeat","文本重复","文本重复：在浏览器中格式化 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","文本重复|repeat|text",""
"resvg","resvg 渲染","resvg 渲染：在浏览器中转换 Vector 的实用工具，快速响应、无需上传、适合开发与日常使用。","resvg|渲染|vector",""
